Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,34.90,0,31.77,0,2.10,0,0.005,5,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,35.20,0,32.04,0,2.40,0,0.005,2,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,56.30,0,51.25,0,2.40,0,0.005,1,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,38.57,99.12,37.66,75.86,0.51,0,0.005,1,not applicable,not applicable,not applicable,lower,tree age,82,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,-9999.00,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,51.84,120.80,50.61,90.83,2.98,0,0.006,<1,not applicable,not applicable,not applicable,lower,tree age,52,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,48.90,123.47,47.74,92.66,1.44,0,0.006,1,not applicable,not applicable,not applicable,lower,tree age,13,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,35.60,94.10,34.71,92.39,1.79,0.11,0.006,2,not applicable,not applicable,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,37.90,78.20,36.95,76.80,1.97,0.12,0.006,2,not applicable,not applicable,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,49.30,119.70,48.06,117.84,2.27,0.14,0.006,1,not applicable,not applicable,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,59.80,122.50,58.30,120.67,2.00,0.12,0.006,1,not applicable,not applicable,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
